method,num_points,snr,bandwidth,pkl_path,pdf_path
integral,200,0,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:200_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:200_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
integral,200,10,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:200_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:200_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
integral,200,20,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:200_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:200_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
integral,400,0,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:400_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:400_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
integral,400,10,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:400_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:400_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
integral,400,20,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:400_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:400_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
integral,800,0,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:800_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:800_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
integral,800,10,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:800_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:800_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
integral,800,20,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_integral_NOP:800_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_integral_NOP:800_IM:integral_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
min,200,0,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:200_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:200_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
min,200,10,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:200_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:200_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
min,200,20,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:200_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:200_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
min,400,0,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:400_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:400_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
min,400,10,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:400_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:400_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
min,400,20,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:400_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:400_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
min,800,0,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:800_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:800_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
min,800,10,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:800_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:800_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
min,800,20,47.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_min_NOP:800_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_min_NOP:800_IM:min_M:rotation_BW:47.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
invariant_features,200,0,3000.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_NOP:200_IM:invariant_features_M:rotation_BW:3000.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_NOP:200_IM:invariant_features_M:rotation_BW:3000.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
